Number_of_R: 45
Number_of_Wannier_functions: 16
Hamiltonian:  
============================================================
index of R: 0.  R = [-1 -1 -2]
R = [-1 -1 -2], i = 7, j=7 :: H(i,j,R)= -0.0021-0.0074j 
R = [-1 -1 -2], i = 7, j=8 :: H(i,j,R)= -0.0182-0.0071j 
R = [-1 -1 -2], i = 7, j=9 :: H(i,j,R)= -0.0050-0.0031j 
R = [-1 -1 -2], i = 7, j=10 :: H(i,j,R)= 0.0051-0.0135j 
R = [-1 -1 -2], i = 7, j=11 :: H(i,j,R)= -0.0100+0.0120j 
R = [-1 -1 -2], i = 7, j=12 :: H(i,j,R)= -0.0050-0.0010j 
R = [-1 -1 -2], i = 7, j=13 :: H(i,j,R)= 0.0405+0.0072j 
R = [-1 -1 -2], i = 7, j=14 :: H(i,j,R)= -0.0385-0.0066j 
R = [-1 -1 -2], i = 7, j=15 :: H(i,j,R)= 0.0060+0.0026j 
R = [-1 -1 -2], i = 8, j=0 :: H(i,j,R)= 0.0161-0.0064j 
R = [-1 -1 -2], i = 8, j=1 :: H(i,j,R)= -0.0168-0.0035j 
R = [-1 -1 -2], i = 8, j=2 :: H(i,j,R)= 0.0523-0.0028j 
R = [-1 -1 -2], i = 8, j=3 :: H(i,j,R)= -0.0566+0.0044j 
R = [-1 -1 -2], i = 8, j=4 :: H(i,j,R)= -0.0029+0.0093j 
R = [-1 -1 -2], i = 8, j=5 :: H(i,j,R)= -0.0005+0.0088j 
R = [-1 -1 -2], i = 8, j=6 :: H(i,j,R)= -0.0081-0.0014j 
R = [-1 -1 -2], i = 8, j=7 :: H(i,j,R)= -0.0124-0.0072j 
R = [-1 -1 -2], i = 8, j=8 :: H(i,j,R)= -0.0023-0.0079j 
R = [-1 -1 -2], i = 8, j=9 :: H(i,j,R)= -0.0084-0.0039j 
R = [-1 -1 -2], i = 8, j=10 :: H(i,j,R)= 0.0023-0.0133j 
R = [-1 -1 -2], i = 8, j=11 :: H(i,j,R)= -0.0069+0.0112j 
R = [-1 -1 -2], i = 8, j=12 :: H(i,j,R)= 0.0016+0.0001j 
R = [-1 -1 -2], i = 8, j=13 :: H(i,j,R)= 0.0412+0.0081j 
R = [-1 -1 -2], i = 8, j=14 :: H(i,j,R)= -0.0342-0.0076j 
R = [-1 -1 -2], i = 8, j=15 :: H(i,j,R)= -0.0035+0.0007j 
R = [-1 -1 -2], i = 9, j=0 :: H(i,j,R)= -0.0013-0.0045j 
R = [-1 -1 -2], i = 9, j=1 :: H(i,j,R)= -0.0033-0.0053j 
R = [-1 -1 -2], i = 9, j=2 :: H(i,j,R)= 0.0179+0.0005j 
R = [-1 -1 -2], i = 9, j=3 :: H(i,j,R)= -0.0222+0.0015j 
R = [-1 -1 -2], i = 9, j=4 :: H(i,j,R)= -0.0124-0.0029j 
R = [-1 -1 -2], i = 9, j=5 :: H(i,j,R)= -0.0081-0.0014j 
R = [-1 -1 -2], i = 9, j=6 :: H(i,j,R)= -0.0162-0.0039j 
R = [-1 -1 -2], i = 9, j=7 :: H(i,j,R)= 0.0128+0.0015j 
R = [-1 -1 -2], i = 9, j=8 :: H(i,j,R)= 0.0134+0.0026j 
